business_name,phone_e164,city,category,demo_url,message
FabRenos Home Renovation,+16047296285,Vancouver,Remodeler,https://jaggyai.github.io/bc-demos/vancouver/interior-design/fabrenos-home-renovation/,"Hi, it's Jag - I build websites for Vancouver businesses & built FabRenos Home Renovation a free demo: https://jaggyai.github.io/bc-demos/vancouver/interior-design/fabrenos-home-renovation/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
FL CONTRACTORS LTD.,+16043697900,North Vancouver,Construction company,https://jaggyai.github.io/bc-demos/north-vancouver/contractors/fl-contractors-ltd/,"Hi, it's Jag - I build websites for North Vancouver businesses & built FL CONTRACTORS LTD. a free demo: https://jaggyai.github.io/bc-demos/north-vancouver/contractors/fl-contractors-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Zipfix,+16043225009,Vancouver,Handyman/Handywoman/Handyperson,https://jaggyai.github.io/bc-demos/vancouver/handyman/zipfix/,"Hi, it's Jag - I build websites for Vancouver businesses & built Zipfix a free demo: https://jaggyai.github.io/bc-demos/vancouver/handyman/zipfix/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Youwin Plumbing&Heating Ltd.,+17783258765,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/youwin-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Youwin Plumbing&Heating Ltd. a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/youwin-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
International Plumbing & Electrical Supplied.,+16046881628,Vancouver,Appliance repair service,https://jaggyai.github.io/bc-demos/vancouver/local-business/international-plumbing-electrical-supplied/,"Hi, it's Jag - I build websites for Vancouver businesses & built International Plumbing & Electrical Supplied. a free demo: https://jaggyai.github.io/bc-demos/vancouver/local-business/international-plumbing-electrical-supplied/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Green Choice Plumbing & Heating Ltd,+16044647336,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/green-choice-plumbing-heating-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Green Choice Plumbing & Heating Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/green-choice-plumbing-heating-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
A.M. Home Renovations & Repairs,+17782421119,Vancouver,General contractor,https://jaggyai.github.io/bc-demos/vancouver/contractors/a-m-home-renovations-repairs/,"Hi, it's Jag - I build websites for Vancouver businesses & built A.M. Home Renovations & Repairs a free demo: https://jaggyai.github.io/bc-demos/vancouver/contractors/a-m-home-renovations-repairs/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Hodgson Plumbing & Mechanical Ltd,+16048731841,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/hodgson-plumbing-mechanical-ltd/,"Hi, it's Jag - I build websites for Vancouver businesses & built Hodgson Plumbing & Mechanical Ltd a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/hodgson-plumbing-mechanical-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Perimeter Drains Vancouver,+16047216574,Vancouver,Plumber,https://jaggyai.github.io/bc-demos/vancouver/plumbers/perimeter-drains-vancouver/,"Hi, it's Jag - I build websites for Vancouver businesses & built Perimeter Drains Vancouver a free demo: https://jaggyai.github.io/bc-demos/vancouver/plumbers/perimeter-drains-vancouver/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Crestwood Plumbing & Heating,+16042789558,Richmond,Plumber,https://jaggyai.github.io/bc-demos/richmond/plumbers/crestwood-plumbing-heating/,"Hi, it's Jag - I build websites for Richmond businesses & built Crestwood Plumbing & Heating a free demo: https://jaggyai.github.io/bc-demos/richmond/plumbers/crestwood-plumbing-heating/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
