business_name,phone_e164,city,category,demo_url,message
Rivas Rowe Fusion.,+12507391821,Nanaimo,Welder,https://jaggyai.github.io/bc-demos/nanaimo/contractors/rivas-rowe-fusion/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Rivas Rowe Fusion. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/rivas-rowe-fusion/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Valliere Construction Inc.,+12507295729,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/valliere-construction-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Valliere Construction Inc. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/valliere-construction-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Universal Soldier Construction Ltd,+16045007590,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/universal-soldier-construction-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Universal Soldier Construction Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/universal-soldier-construction-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Shencheng Construction & Development Inc,+12507713900,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/shencheng-construction-development-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Shencheng Construction & Development Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/shencheng-construction-development-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Departure Bay Drywall,+12507137339,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/departure-bay-drywall/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Departure Bay Drywall a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/departure-bay-drywall/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
R Wilmer Construction,+12507166695,Nanaimo,Home builder,https://jaggyai.github.io/bc-demos/nanaimo/contractors/r-wilmer-construction/,"Hi, it's Jag - I build websites for Nanaimo businesses & built R Wilmer Construction a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/r-wilmer-construction/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Star Homes By Phillip Landick,+12503902939,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/star-homes-by-phillip-landick/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Star Homes By Phillip Landick a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/star-homes-by-phillip-landick/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
clp ltd project management,+17788684905,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/clp-ltd-project-management/,"Hi, it's Jag - I build websites for Nanaimo businesses & built clp ltd project management a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/clp-ltd-project-management/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
J V Drivers Installations Inc,+12507600744,Nanaimo,Construction company,https://jaggyai.github.io/bc-demos/nanaimo/contractors/j-v-drivers-installations-inc/,"Hi, it's Jag - I build websites for Nanaimo businesses & built J V Drivers Installations Inc a free demo: https://jaggyai.github.io/bc-demos/nanaimo/contractors/j-v-drivers-installations-inc/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
JBD Design Group,+12507564646,Nanaimo,Interior designer,https://jaggyai.github.io/bc-demos/nanaimo/interior-design/jbd-design-group/,"Hi, it's Jag - I build websites for Nanaimo businesses & built JBD Design Group a free demo: https://jaggyai.github.io/bc-demos/nanaimo/interior-design/jbd-design-group/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Some Kind of Wonderful Property Maintenance and Landscaping,+12508025644,Nanaimo,Property maintenance,https://jaggyai.github.io/bc-demos/nanaimo/handyman/some-kind-of-wonderful-property-maintenance-and-landscaping/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Some Kind of Wonderful Property Maintenance and Landscaping a free demo: https://jaggyai.github.io/bc-demos/nanaimo/handyman/some-kind-of-wonderful-property-maintenance-and-landscaping/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Retro Teck Window Manufacturing Ltd.,+12507569488,Nanaimo,Window supplier,https://jaggyai.github.io/bc-demos/nanaimo/fence-deck/retro-teck-window-manufacturing-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Retro Teck Window Manufacturing Ltd. a free demo: https://jaggyai.github.io/bc-demos/nanaimo/fence-deck/retro-teck-window-manufacturing-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
Coastland Wood Industries Ltd,+12507541962,Nanaimo,Woodworker,https://jaggyai.github.io/bc-demos/nanaimo/carpenter/coastland-wood-industries-ltd/,"Hi, it's Jag - I build websites for Nanaimo businesses & built Coastland Wood Industries Ltd a free demo: https://jaggyai.github.io/bc-demos/nanaimo/carpenter/coastland-wood-industries-ltd/ Already has your info on it. Reply if you'd like it live on your own domain. Txt STOP to opt out."
